信号,信号类型,开仓时间,平仓时间,开仓价,平仓价,方向,名义资金（U）,投入(允许杠杆),实际涨跌幅,收益（U）,平仓后资金（U）,平仓类型
尾宿,星宿,2023-01-17 00:00:00+00:00,2023-01-17 23:55:00+00:00,21185.65,21134.81,多,5164689.45,4131751.56,-0.24%,-18572.81,5146116.64,正常平仓
闭,建星,2023-01-20 00:00:00+08:00,2023-01-20 23:55:00+08:00,20876.44,21144.77,多,5164689.45,5164689.45,1.29%,55442.83,5220132.27,正常平仓
毕宿,星宿,2023-01-30 00:00:00+08:00,2023-01-30 23:55:00+08:00,23525.09,23178.51,多,5220132.27,6786171.95,-1.47%,-114070.61,5106061.66,正常平仓
参宿,星宿,2023-02-01 00:00:00+08:00,2023-02-01 23:55:00+08:00,23121.8,22979.73,多,5220132.27,4176105.82,-0.61%,-34386.92,5185745.35,正常平仓
闭,建星,2023-02-01 00:00:00+08:00,2023-02-01 23:55:00+08:00,23121.8,22979.73,多,5220132.27,5220132.27,-0.61%,-42983.65,5177148.62,正常平仓
轸宿,星宿,2023-02-08 00:00:00+00:00,2023-02-08 23:55:00+00:00,23242.42,22963.0,多,5220132.27,7830198.41,-1.20%,-110429.0,5109703.27,正常平仓
氐宿,星宿,2023-02-11 00:00:00+08:00,2023-02-11 23:55:00+08:00,21652.75,21735.78,多,5220132.27,4176105.82,0.38%,7224.11,5227356.38,正常平仓
闭,建星,2023-02-14 00:00:00+08:00,2023-02-14 23:55:00+08:00,21561.84,22041.45,多,5227356.38,5227356.38,2.22%,105127.99,5332484.38,正常平仓
尾宿,星宿,2023-02-14 00:00:00+00:00,2023-02-14 23:55:00+00:00,21774.63,22199.84,多,5332484.38,4265987.5,1.95%,74226.04,5406710.42,正常平仓
闭,建星,2023-02-26 00:00:00+08:00,2023-02-26 23:55:00+08:00,23006.18,23247.23,多,5406710.42,5406710.42,1.05%,45215.85,5451926.27,正常平仓
毕宿,星宿,2023-02-27 00:00:00+08:00,2023-02-27 23:55:00+08:00,23247.96,23559.4,多,5451926.27,7087504.15,1.34%,79928.35,5531854.62,正常平仓
参宿,星宿,2023-03-01 00:00:00+08:00,2023-03-01 23:55:00+08:00,23519.08,23711.09,多,5531854.62,4425483.7,0.82%,26786.44,5558641.06,正常平仓
轸宿,星宿,2023-03-08 00:00:00+00:00,2023-03-08 23:55:00+00:00,22198.56,21705.44,多,5558641.06,8337961.6,-2.22%,-202443.67,5356197.4,正常平仓
氐宿,星宿,2023-03-11 00:00:00+08:00,2023-03-11 23:55:00+08:00,20004.96,20061.98,多,5558641.06,4446912.85,0.29%,3321.93,5561963.0,正常平仓
闭,建星,2023-03-11 00:00:00+08:00,2023-03-11 23:55:00+08:00,20004.96,20061.98,多,5561963.0,5561963.0,0.29%,4154.9,5566117.89,正常平仓
尾宿,星宿,2023-03-14 00:00:00+00:00,2023-03-14 12:40:00+00:00,24112.27,25457.68,多,5566117.89,4452894.32,5.58%,238742.34,5804860.23,止盈平仓
闭,建星,2023-03-23 00:00:00+08:00,2023-03-23 23:55:00+08:00,28595.06,28580.87,多,5804860.23,5804860.23,-0.05%,-15060.69,5789799.54,正常平仓
毕宿,星宿,2023-03-27 00:00:00+08:00,2023-03-27 23:55:00+08:00,27803.89,26903.62,多,5804860.23,7546318.3,-3.24%,-259817.82,5545042.41,正常平仓
参宿,星宿,2023-03-29 00:00:00+08:00,2023-03-29 23:55:00+08:00,26998.63,28442.79,多,5804860.23,4643888.18,5.35%,238282.26,6043142.5,正常平仓
闭,建星,2023-04-04 00:00:00+08:00,2023-04-04 23:55:00+08:00,28051.48,28030.04,多,6043142.5,6043142.5,-0.08%,-17296.46,6025846.03,正常平仓
轸宿,星宿,2023-04-05 00:00:00+00:00,2023-04-05 23:55:00+00:00,28165.47,28170.01,多,6043142.5,9064713.74,0.02%,-17567.89,6025574.61,正常平仓
氐宿,星宿,2023-04-08 00:00:00+08:00,2023-04-08 23:55:00+08:00,27944.09,28014.7,多,6043142.5,4834514.0,0.25%,2050.04,6045192.54,正常平仓
尾宿,星宿,2023-04-11 00:00:00+00:00,2023-04-11 23:55:00+00:00,29637.35,30200.42,多,6045192.54,4836154.03,1.90%,81591.64,6126784.18,正常平仓
闭,建星,2023-04-17 00:00:00+08:00,2023-04-17 23:55:00+08:00,30332.98,29358.31,多,6126784.18,6126784.18,-3.21%,-209433.01,5917351.17,正常平仓
毕宿,星宿,2023-04-24 00:00:00+08:00,2023-04-24 23:55:00+08:00,27474.47,27267.05,多,6126784.18,7964819.43,-0.75%,-76758.86,6050025.32,正常平仓
参宿,星宿,2023-04-26 00:00:00+08:00,2023-04-26 23:55:00+08:00,27345.0,29820.03,多,6126784.18,4901427.34,9.05%,432681.19,6559465.36,正常平仓
闭,建星,2023-04-29 00:00:00+08:00,2023-04-29 23:55:00+08:00,29146.88,29271.21,多,6559465.36,6559465.36,0.43%,14170.03,6573635.39,正常平仓
轸宿,星宿,2023-05-03 00:00:00+00:00,2023-05-03 23:55:00+00:00,28669.85,29026.16,多,6573635.39,9860453.09,1.24%,101665.3,6675300.69,正常平仓
氐宿,星宿,2023-05-06 00:00:00+08:00,2023-05-06 23:55:00+08:00,29356.44,28576.61,多,6675300.69,5340240.55,-2.66%,-152855.68,6522445.02,正常平仓
尾宿,星宿,2023-05-09 00:00:00+00:00,2023-05-09 23:55:00+00:00,27668.8,27628.27,多,6675300.69,5340240.55,-0.15%,-19019.97,6656280.72,正常平仓
闭,建星,2023-05-12 00:00:00+08:00,2023-05-12 23:55:00+08:00,27179.43,26320.84,多,6675300.69,6675300.69,-3.16%,-224566.1,6450734.59,正常平仓
毕宿,星宿,2023-05-22 00:00:00+08:00,2023-05-22 23:55:00+08:00,26898.97,26877.18,多,6675300.69,8677890.9,-0.08%,-25234.04,6650066.65,正常平仓
参宿,星宿,2023-05-24 00:00:00+08:00,2023-05-24 23:55:00+08:00,27320.04,26314.69,多,6675300.69,5340240.55,-3.68%,-207430.07,6467870.62,正常平仓
闭,建星,2023-05-24 00:00:00+08:00,2023-05-24 23:55:00+08:00,27320.04,26314.69,多,6675300.69,6675300.69,-3.68%,-259287.59,6416013.1,正常平仓
轸宿,星宿,2023-05-31 00:00:00+00:00,2023-05-31 23:55:00+00:00,27694.39,27210.35,多,6675300.69,10012951.04,-1.75%,-195760.29,6479540.4,正常平仓
氐宿,星宿,2023-06-03 00:00:00+08:00,2023-06-03 23:55:00+08:00,27095.93,27305.26,多,6675300.69,5340240.55,0.77%,29985.1,6705285.79,正常平仓
闭,建星,2023-06-05 00:00:00+08:00,2023-06-05 23:55:00+08:00,27179.0,26007.53,多,6705285.79,6705285.79,-4.31%,-302652.58,6402633.21,正常平仓
尾宿,星宿,2023-06-06 00:00:00+00:00,2023-06-06 19:50:00+00:00,25728.2,27161.82,多,6705285.79,5364228.63,5.57%,287196.56,6992482.35,止盈平仓
闭,建星,2023-06-18 00:00:00+08:00,2023-06-18 23:55:00+08:00,26410.82,26562.09,多,6992482.35,6992482.35,0.57%,25312.72,7017795.07,正常平仓
毕宿,星宿,2023-06-19 00:00:00+08:00,2023-06-19 23:55:00+08:00,26562.09,26444.0,多,7017795.07,9123133.59,-0.44%,-59648.38,6958146.69,正常平仓
参宿,星宿,2023-06-21 00:00:00+08:00,2023-06-21 23:55:00+08:00,27071.94,29851.58,多,7017795.07,5614236.06,10.27%,563799.23,7581594.3,正常平仓
轸宿,星宿,2023-06-28 00:00:00+00:00,2023-06-28 23:55:00+00:00,30692.44,30077.41,多,7581594.3,11372391.45,-2.00%,-251414.55,7330179.75,正常平仓
闭,建星,2023-06-30 00:00:00+08:00,2023-06-30 23:55:00+08:00,30478.79,30067.72,多,7581594.3,7581594.3,-1.35%,-118014.09,7463580.21,正常平仓
氐宿,星宿,2023-07-01 00:00:00+08:00,2023-07-01 23:55:00+08:00,30067.72,30572.58,多,7581594.3,6065275.44,1.68%,88956.94,7670551.24,正常平仓
尾宿,星宿,2023-07-04 00:00:00+00:00,2023-07-04 23:55:00+00:00,31156.2,30766.51,多,7670551.24,6136440.99,-1.25%,-89517.63,7581033.6,正常平仓
闭,建星,2023-07-13 00:00:00+08:00,2023-07-13 23:55:00+08:00,30524.63,30917.48,多,7670551.24,7670551.24,1.29%,82471.02,7753022.26,正常平仓
毕宿,星宿,2023-07-17 00:00:00+08:00,2023-07-17 23:55:00+08:00,30379.96,30174.83,多,7753022.26,10078928.94,-0.68%,-89108.09,7663914.17,正常平仓
参宿,星宿,2023-07-19 00:00:00+08:00,2023-07-19 23:55:00+08:00,29912.01,29956.46,多,7753022.26,6202417.81,0.15%,-3815.75,7749206.51,正常平仓
闭,建星,2023-07-25 00:00:00+08:00,2023-07-25 23:55:00+08:00,29093.78,29181.51,多,7753022.26,7753022.26,0.30%,7069.99,7760092.24,正常平仓
轸宿,星宿,2023-07-26 00:00:00+00:00,2023-07-26 23:55:00+00:00,29228.91,29351.96,多,7760092.24,11640138.37,0.42%,24497.39,7784589.64,正常平仓
氐宿,星宿,2023-07-29 00:00:00+08:00,2023-07-29 23:55:00+08:00,29387.99,29292.34,多,7784589.64,6227671.71,-0.33%,-33310.9,7751278.74,正常平仓
尾宿,星宿,2023-08-01 00:00:00+00:00,2023-08-01 23:55:00+00:00,29232.26,29705.99,多,7784589.64,6227671.71,1.62%,87700.77,7872290.41,正常平仓
闭,建星,2023-08-06 00:00:00+08:00,2023-08-06 23:55:00+08:00,29041.49,29012.93,多,7872290.41,7872290.41,-0.10%,-24254.11,7848036.3,正常平仓
毕宿,星宿,2023-08-14 00:00:00+08:00,2023-08-14 23:55:00+08:00,29374.19,29599.99,多,7872290.41,10233977.53,0.77%,57069.75,7929360.15,正常平仓
参宿,星宿,2023-08-16 00:00:00+08:00,2023-08-16 23:55:00+08:00,29332.67,29106.55,多,7929360.15,6343488.12,-0.77%,-62142.43,7867217.72,正常平仓
闭,建星,2023-08-19 00:00:00+08:00,2023-08-19 23:55:00+08:00,26001.99,26216.01,多,7929360.15,7929360.15,0.82%,48524.27,7977884.43,正常平仓
轸宿,星宿,2023-08-23 00:00:00+00:00,2023-08-23 23:55:00+00:00,26055.99,26432.72,多,7977884.43,11966826.64,1.45%,147644.38,8125528.81,正常平仓
氐宿,星宿,2023-08-26 00:00:00+08:00,2023-08-26 23:55:00+08:00,25932.01,26054.0,多,8125528.81,6500423.05,0.47%,16889.22,8142418.03,正常平仓
尾宿,星宿,2023-08-29 00:00:00+00:00,2023-08-29 14:40:00+00:00,26120.0,27547.95,多,8142418.03,6513934.42,5.47%,341902.65,8484320.69,止盈平仓
闭,建星,2023-08-31 00:00:00+08:00,2023-08-31 23:55:00+08:00,27201.63,26922.01,多,8484320.69,8484320.69,-1.03%,-104892.7,8379427.99,正常平仓
毕宿,星宿,2023-09-11 00:00:00+08:00,2023-09-11 23:55:00+08:00,25775.02,25115.97,多,8484320.69,11029616.89,-2.56%,-304748.34,8179572.34,正常平仓
参宿,星宿,2023-09-13 00:00:00+08:00,2023-09-13 23:55:00+08:00,26205.98,26241.31,多,8484320.69,6787456.55,0.13%,-5109.98,8479210.71,正常平仓
闭,建星,2023-09-13 00:00:00+08:00,2023-09-13 23:55:00+08:00,26205.98,26241.31,多,8484320.69,8484320.69,0.13%,-6387.47,8477933.21,正常平仓
轸宿,星宿,2023-09-20 00:00:00+00:00,2023-09-20 23:55:00+00:00,27210.25,27125.0,多,8484320.69,12726481.03,-0.31%,-66525.32,8417795.36,正常平仓
氐宿,星宿,2023-09-23 00:00:00+08:00,2023-09-23 23:55:00+08:00,26631.01,26581.55,多,8484320.69,6787456.55,-0.19%,-26833.87,8457486.82,正常平仓
闭,建星,2023-09-25 00:00:00+08:00,2023-09-25 23:55:00+08:00,26578.06,26243.72,多,8484320.69,8484320.69,-1.26%,-124377.53,8359943.15,正常平仓
尾宿,星宿,2023-09-26 00:00:00+00:00,2023-09-26 23:55:00+00:00,26304.8,26221.67,多,8484320.69,6787456.55,-0.32%,-35664.85,8448655.84,正常平仓
闭,建星,2023-10-07 00:00:00+08:00,2023-10-07 23:55:00+08:00,27941.12,27939.8,多,8484320.69,8484320.69,-0.00%,-18208.81,8466111.87,正常平仓
毕宿,星宿,2023-10-09 00:00:00+08:00,2023-10-09 23:55:00+08:00,27892.74,27443.31,多,8484320.69,11029616.89,-1.61%,-200602.73,8283717.96,正常平仓
参宿,星宿,2023-10-11 00:00:00+08:00,2023-10-11 23:55:00+08:00,27408.01,26779.46,多,8484320.69,6787456.55,-2.29%,-169670.81,8314649.88,正常平仓
轸宿,星宿,2023-10-18 00:00:00+00:00,2023-10-18 23:55:00+00:00,28395.91,28320.0,多,8484320.69,12726481.03,-0.27%,-60683.24,8423637.44,正常平仓
闭,建星,2023-10-20 00:00:00+08:00,2023-10-20 23:55:00+08:00,28680.09,29550.98,多,8484320.69,8484320.69,3.04%,239437.25,8723757.94,正常平仓
氐宿,星宿,2023-10-21 00:00:00+08:00,2023-10-21 23:55:00+08:00,29550.98,29937.36,多,8723757.94,6979006.35,1.31%,76465.01,8800222.95,正常平仓
尾宿,星宿,2023-10-24 00:00:00+00:00,2023-10-24 02:20:00+00:00,33069.99,34945.03,多,8800222.95,7040178.36,5.67%,383796.36,9184019.31,止盈平仓
闭,建星,2023-11-01 00:00:00+08:00,2023-11-01 23:55:00+08:00,34272.19,34291.94,多,9184019.31,9184019.31,0.06%,-13992.73,9170026.58,正常平仓
毕宿,星宿,2023-11-06 00:00:00+08:00,2023-11-06 23:55:00+08:00,34882.92,35080.95,多,9184019.31,11939225.1,0.57%,42616.83,9226636.13,正常平仓
参宿,星宿,2023-11-08 00:00:00+08:00,2023-11-08 23:55:00+08:00,34721.23,35225.68,多,9226636.13,7381308.91,1.45%,91585.78,9318221.91,正常平仓
闭,建星,2023-11-14 00:00:00+08:00,2023-11-14 23:55:00+08:00,36841.9,36147.09,多,9318221.91,9318221.91,-1.89%,-195030.05,9123191.86,正常平仓
轸宿,星宿,2023-11-15 00:00:00+00:00,2023-11-15 23:55:00+00:00,35551.2,37858.2,多,9318221.91,13977332.87,6.49%,876323.56,10194545.47,正常平仓
氐宿,星宿,2023-11-18 00:00:00+08:00,2023-11-18 23:55:00+08:00,36044.79,36664.16,多,10194545.47,8155636.38,1.72%,122812.34,10317357.82,正常平仓
尾宿,星宿,2023-11-21 00:00:00+00:00,2023-11-21 23:55:00+00:00,37448.79,35741.65,多,10317357.82,8253886.25,-4.56%,-393022.43,9924335.38,正常平仓
闭,建星,2023-11-26 00:00:00+08:00,2023-11-26 23:55:00+08:00,37704.38,37437.11,多,10317357.82,10317357.82,-0.71%,-94681.79,10222676.03,正常平仓
毕宿,星宿,2023-12-04 00:00:00+08:00,2023-12-04 23:55:00+08:00,39760.42,41270.33,多,10317357.82,13412565.16,3.80%,480428.39,10797786.21,正常平仓
参宿,星宿,2023-12-06 00:00:00+08:00,2023-12-06 23:55:00+08:00,42268.28,43785.2,多,10797786.21,8638228.97,3.59%,291411.59,11089197.79,正常平仓
闭,建星,2023-12-09 00:00:00+08:00,2023-12-09 23:55:00+08:00,43760.94,44045.1,多,11089197.79,11089197.79,0.65%,48623.11,11137820.91,正常平仓
轸宿,星宿,2023-12-13 00:00:00+00:00,2023-12-13 23:55:00+00:00,41492.38,42869.03,多,11137820.91,16706731.36,3.32%,518403.96,11656224.87,正常平仓
氐宿,星宿,2023-12-16 00:00:00+08:00,2023-12-16 23:55:00+08:00,41909.56,42604.0,多,11656224.87,9324979.9,1.66%,134709.85,11790934.72,正常平仓
尾宿,星宿,2023-12-19 00:00:00+00:00,2023-12-19 23:55:00+00:00,42657.8,42275.99,多,11790934.72,9432747.78,-0.90%,-104100.89,11686833.83,正常平仓
闭,建星,2023-12-21 00:00:00+08:00,2023-12-21 23:55:00+08:00,44027.2,43823.99,多,11790934.72,11790934.72,-0.46%,-79089.32,11711845.4,正常平仓
毕宿,星宿,2024-01-01 00:00:00+08:00,2024-01-01 23:55:00+08:00,42457.17,42783.05,多,11790934.72,15328215.14,0.77%,85301.42,11876236.14,正常平仓
闭,建星,2024-01-02 00:00:00+08:00,2024-01-02 23:55:00+08:00,42783.05,45184.82,多,11876236.14,11876236.14,5.61%,640784.72,12517020.86,正常平仓
参宿,星宿,2024-01-03 00:00:00+08:00,2024-01-03 23:55:00+08:00,45184.83,43000.01,多,12517020.86,10013616.69,-4.84%,-504480.73,12012540.13,正常平仓
轸宿,星宿,2024-01-10 00:00:00+00:00,2024-01-10 23:55:00+00:00,46110.0,46653.99,多,12517020.86,18775531.29,1.18%,181765.4,12698786.27,正常平仓
氐宿,星宿,2024-01-13 00:00:00+08:00,2024-01-13 23:55:00+08:00,44462.0,43154.48,多,12698786.27,10159029.01,-2.94%,-319628.48,12379157.79,正常平仓
闭,建星,2024-01-15 00:00:00+08:00,2024-01-15 23:55:00+08:00,42904.39,42278.99,多,12698786.27,12698786.27,-1.46%,-211482.38,12487303.89,正常平仓
尾宿,星宿,2024-01-16 00:00:00+00:00,2024-01-16 23:55:00+00:00,42511.1,43137.95,多,12698786.27,10159029.01,1.47%,128252.22,12827038.48,正常平仓
闭,建星,2024-01-27 00:00:00+08:00,2024-01-27 23:55:00+08:00,41422.98,41814.0,多,12827038.48,12827038.48,0.94%,93977.77,12921016.26,正常平仓
毕宿,星宿,2024-01-29 00:00:00+08:00,2024-01-29 23:55:00+08:00,42258.0,42641.75,多,12921016.26,16797321.14,0.91%,117052.26,13038068.52,正常平仓
参宿,星宿,2024-01-31 00:00:00+08:00,2024-01-31 23:55:00+08:00,43375.5,43361.1,多,13038068.52,10430454.82,-0.03%,-25351.09,13012717.43,正常平仓
轸宿,星宿,2024-02-07 00:00:00+00:00,2024-02-07 23:55:00+00:00,43098.96,44349.6,多,13038068.52,19557102.78,2.90%,525604.4,13563672.92,正常平仓
闭,建星,2024-02-09 00:00:00+08:00,2024-02-09 23:55:00+08:00,45432.3,47159.99,多,13563672.92,13563672.92,3.80%,486553.18,14050226.1,正常平仓
氐宿,星宿,2024-02-10 00:00:00+08:00,2024-02-10 23:55:00+08:00,47159.99,47353.48,多,14050226.1,11240180.88,0.41%,22454.41,14072680.51,正常平仓
尾宿,星宿,2024-02-13 00:00:00+00:00,2024-02-13 23:55:00+00:00,49917.28,49699.59,多,14072680.51,11258144.41,-0.44%,-72654.19,14000026.32,正常平仓
闭,建星,2024-02-21 00:00:00+08:00,2024-02-21 23:55:00+08:00,51679.99,51156.0,多,14072680.51,14072680.51,-1.01%,-172009.38,13900671.14,正常平仓
毕宿,星宿,2024-02-26 00:00:00+08:00,2024-02-26 23:55:00+08:00,51524.02,52842.32,多,14072680.51,18294484.67,2.56%,428983.17,14501663.69,正常平仓
参宿,星宿,2024-02-28 00:00:00+08:00,2024-02-28 23:55:00+08:00,56745.66,60966.22,多,14501663.69,11601330.95,7.44%,837225.11,15338888.79,正常平仓
闭,建星,2024-03-04 00:00:00+08:00,2024-03-04 23:55:00+08:00,62164.63,66451.65,多,15338888.79,15338888.79,6.90%,1024024.08,16362912.88,正常平仓
轸宿,星宿,2024-03-06 00:00:00+00:00,2024-03-06 23:55:00+00:00,63724.01,66074.04,多,16362912.88,24544369.32,3.69%,852277.93,17215190.81,正常平仓
氐宿,星宿,2024-03-09 00:00:00+08:00,2024-03-09 23:55:00+08:00,67617.6,68288.2,多,17215190.81,13772152.65,0.99%,107473.33,17322664.13,正常平仓
尾宿,星宿,2024-03-12 00:00:00+00:00,2024-03-12 23:55:00+00:00,72078.1,71452.01,多,17322664.13,13858131.31,-0.87%,-149283.28,17173380.85,正常平仓
闭,建星,2024-03-17 00:00:00+08:00,2024-03-17 23:55:00+08:00,68385.58,67965.5,多,17322664.13,17322664.13,-0.61%,-142610.7,17180053.43,正常平仓
毕宿,星宿,2024-03-25 00:00:00+08:00,2024-03-25 23:55:00+08:00,65673.36,69792.05,多,17322664.13,22519463.37,6.27%,1362917.67,18685581.81,正常平仓
参宿,星宿,2024-03-27 00:00:00+08:00,2024-03-27 23:55:00+08:00,70250.01,68874.0,多,18685581.81,14948465.45,-1.96%,-323738.43,18361843.38,正常平仓
闭,建星,2024-03-29 00:00:00+08:00,2024-03-29 23:55:00+08:00,71290.38,69180.0,多,18685581.81,18685581.81,-2.96%,-591533.53,18094048.27,正常平仓
轸宿,星宿,2024-04-03 00:00:00+00:00,2024-04-03 23:55:00+00:00,65463.99,65963.28,多,18685581.81,28028372.71,0.76%,154618.74,18840200.55,正常平仓
氐宿,星宿,2024-04-06 00:00:00+08:00,2024-04-06 23:55:00+08:00,68190.62,68104.0,多,18840200.55,15072160.44,-0.13%,-50753.38,18789447.17,正常平仓
尾宿,星宿,2024-04-09 00:00:00+00:00,2024-04-09 23:55:00+00:00,71620.0,69146.0,多,18840200.55,15072160.44,-3.45%,-551500.05,18288700.5,正常平仓
闭,建星,2024-04-11 00:00:00+08:00,2024-04-11 23:55:00+08:00,68657.31,70000.0,多,18840200.55,18840200.55,1.96%,328348.66,19168549.2,正常平仓
毕宿,星宿,2024-04-22 00:00:00+08:00,2024-04-22 23:55:00+08:00,65043.7,65994.38,多,19168549.2,24919113.96,1.46%,311367.06,19479916.27,正常平仓
闭,建星,2024-04-23 00:00:00+08:00,2024-04-23 23:55:00+08:00,65994.39,66419.56,多,19479916.27,19479916.27,0.64%,84423.22,19564339.49,正常平仓
参宿,星宿,2024-04-24 00:00:00+08:00,2024-04-24 23:55:00+08:00,66419.56,64610.11,多,19564339.49,15651471.59,-2.72%,-458602.07,19105737.41,正常平仓
轸宿,星宿,2024-05-01 00:00:00+00:00,2024-05-01 23:55:00+00:00,60672.01,58364.97,多,19564339.49,29346509.23,-3.80%,-1175820.25,18388519.24,正常平仓
氐宿,星宿,2024-05-04 00:00:00+08:00,2024-05-04 23:55:00+08:00,61690.74,63609.17,多,19564339.49,15651471.59,3.11%,453140.16,20017479.64,正常平仓
闭,建星,2024-05-06 00:00:00+08:00,2024-05-06 23:55:00+08:00,64428.64,63632.01,多,20017479.64,20017479.64,-1.24%,-289152.46,19728327.18,正常平仓
尾宿,星宿,2024-05-07 00:00:00+00:00,2024-05-07 23:55:00+00:00,63165.18,62312.08,多,20017479.64,16013983.71,-1.35%,-249571.75,19767907.89,正常平仓
闭,建星,2024-05-18 00:00:00+08:00,2024-05-18 23:55:00+08:00,67195.09,66823.63,多,20017479.64,20017479.64,-0.55%,-152509.1,19864970.54,正常平仓
毕宿,星宿,2024-05-20 00:00:00+08:00,2024-05-20 23:55:00+08:00,66889.88,67419.99,多,20017479.64,26022723.53,0.79%,151302.23,20168781.87,正常平仓
参宿,星宿,2024-05-22 00:00:00+08:00,2024-05-22 23:55:00+08:00,69827.0,70455.9,多,20168781.87,16135025.49,0.90%,111235.57,20280017.43,正常平仓
轸宿,星宿,2024-05-29 00:00:00+00:00,2024-05-29 23:55:00+00:00,68398.4,67652.42,多,20280017.43,30420026.15,-1.09%,-395127.16,19884890.28,正常平仓
闭,建星,2024-05-30 00:00:00+08:00,2024-05-30 23:55:00+08:00,67379.13,68530.76,多,20280017.43,20280017.43,1.71%,303534.46,20583551.9,正常平仓
氐宿,星宿,2024-06-01 00:00:00+08:00,2024-06-01 23:55:00+08:00,67215.58,67691.28,多,20583551.9,16466841.52,0.71%,81800.99,20665352.89,正常平仓
尾宿,星宿,2024-06-04 00:00:00+00:00,2024-06-04 23:55:00+00:00,68809.89,70537.84,多,20665352.89,16532282.31,2.51%,379834.13,21045187.02,正常平仓
闭,建星,2024-06-12 00:00:00+08:00,2024-06-12 23:55:00+08:00,66244.48,69734.0,多,21045187.02,21045187.02,5.27%,1062748.83,22107935.86,正常平仓
毕宿,星宿,2024-06-17 00:00:00+08:00,2024-06-17 23:55:00+08:00,66712.8,65368.0,多,22107935.86,28740316.61,-2.02%,-638806.25,21469129.6,正常平仓
参宿,星宿,2024-06-19 00:00:00+08:00,2024-06-19 23:55:00+08:00,64705.99,64922.0,多,22107935.86,17686348.69,0.33%,21830.72,22129766.58,正常平仓
闭,建星,2024-06-24 00:00:00+08:00,2024-06-24 23:55:00+08:00,64094.01,60843.99,多,22129766.58,22129766.58,-5.07%,-1166904.12,20962862.46,正常平仓
轸宿,星宿,2024-06-26 00:00:00+00:00,2024-06-26 23:55:00+00:00,61806.01,60864.99,多,22129766.58,33194649.87,-1.52%,-574319.15,21555447.43,正常平仓
氐宿,星宿,2024-06-29 00:00:00+08:00,2024-06-29 23:55:00+08:00,61062.0,61106.0,多,22129766.58,17703813.26,0.07%,-24422.44,22105344.14,正常平仓
尾宿,星宿,2024-07-02 00:00:00+00:00,2024-07-02 23:55:00+00:00,62900.0,62135.47,多,22129766.58,17703813.26,-1.22%,-252022.11,21877744.47,正常平仓
闭,建星,2024-07-07 00:00:00+08:00,2024-07-07 23:55:00+08:00,57317.99,56825.42,多,22129766.58,22129766.58,-0.86%,-236340.5,21893426.08,正常平仓
毕宿,星宿,2024-07-15 00:00:00+08:00,2024-07-15 23:55:00+08:00,60084.0,63026.0,多,22129766.58,28768696.55,4.90%,1346155.89,23475922.47,正常平仓
参宿,星宿,2024-07-17 00:00:00+08:00,2024-07-17 23:55:00+08:00,64878.24,64724.01,多,23475922.47,18780737.98,-0.24%,-83999.84,23391922.63,正常平仓
闭,建星,2024-07-19 00:00:00+08:00,2024-07-19 23:55:00+08:00,63538.12,65836.77,多,23475922.47,23475922.47,3.62%,798750.99,24274673.46,正常平仓
轸宿,星宿,2024-07-24 00:00:00+00:00,2024-07-24 23:55:00+00:00,65936.0,65376.0,多,24274673.46,36412010.19,-0.85%,-385215.53,23889457.93,正常平仓
氐宿,星宿,2024-07-27 00:00:00+08:00,2024-07-27 23:55:00+08:00,67560.0,68844.0,多,24274673.46,19419738.77,1.90%,327763.23,24602436.69,正常平仓
尾宿,星宿,2024-07-30 00:00:00+00:00,2024-07-30 23:55:00+00:00,66784.68,66188.0,多,24602436.69,19681949.35,-0.89%,-216894.93,24385541.76,正常平仓
闭,建星,2024-07-31 00:00:00+08:00,2024-07-31 23:55:00+08:00,66216.01,66379.99,多,24602436.69,24602436.69,0.25%,9194.61,24611631.3,正常平仓
毕宿,星宿,2024-08-12 00:00:00+08:00,2024-08-12 23:55:00+08:00,60127.29,60207.37,多,24611631.3,31995120.69,0.13%,-24609.23,24587022.07,正常平仓
闭,建星,2024-08-13 00:00:00+08:00,2024-08-13 23:55:00+08:00,60207.38,59472.26,多,24611631.3,24611631.3,-1.22%,-351712.44,24259918.86,正常平仓
参宿,星宿,2024-08-14 00:00:00+08:00,2024-08-14 23:55:00+08:00,59472.25,59435.69,多,24611631.3,19689305.04,-0.06%,-53413.53,24558217.77,正常平仓
轸宿,星宿,2024-08-21 00:00:00+00:00,2024-08-21 23:55:00+00:00,59013.8,61156.03,多,24611631.3,36917446.95,3.63%,1260622.92,25872254.22,正常平仓
氐宿,星宿,2024-08-24 00:00:00+08:00,2024-08-24 23:55:00+08:00,61533.04,63976.0,多,25872254.22,20697803.38,3.97%,777059.38,26649313.6,正常平仓
闭,建星,2024-08-25 00:00:00+08:00,2024-08-25 23:55:00+08:00,63976.0,64132.16,多,26649313.6,26649313.6,0.24%,9014.29,26658327.89,正常平仓
尾宿,星宿,2024-08-27 00:00:00+00:00,2024-08-27 23:55:00+00:00,62834.0,59415.0,多,26658327.89,21326662.31,-5.44%,-1203477.43,25454850.45,正常平仓
闭,建星,2024-09-06 00:00:00+08:00,2024-09-06 23:55:00+08:00,55976.01,54045.01,多,26658327.89,26658327.89,-3.45%,-974207.55,25684120.34,正常平仓
毕宿,星宿,2024-09-09 00:00:00+08:00,2024-09-09 23:55:00+08:00,53686.99,55386.0,多,26658327.89,34655826.25,3.16%,1022352.01,27680679.9,正常平仓
